Name,Id
Arm Cramp (Muscle Cramps),266
"Arrest, Cardiac (Sudden Cardiac Death)",267
Arrhythmia (Irregular Heartbeat),268
Arrhythmia Treatment (Ablation Therapy for Arrhythmias),269
Arsenic Poisoning,270
ART (Infertility),271
Arteriosclerosis (Heart Disease (Coronary Artery Disease)),272
Arteriovenous Malformation,273
Arteritis (Vasculitis),274
"Artery, Carotid Disease (Carotid Artery Disease)",275
Arthralgia (Arthritis),276
Arthritis,277
Arthritis In Children (Juvenile Arthritis),278
Arthritis Physical and Occupational Therapy,279
"Arthritis, Ankylosing Spondylitis (Ankylosing Spondylitis)",280
"Arthritis, Degenerative (Osteoarthritis)",281
"Arthritis, Gout (Gout (Gouty Arthritis))",282
"Arthritis, Infectious (Septic Arthritis)",283
"Arthritis, Juvenile (Juvenile Arthritis)",284
"Arthritis, Lyme (Lyme Disease)",285
"Arthritis, MCTD (Mixed Connective Tissue Disease)",286
"Arthritis, Plant Thorn (Plant Thorn Synovitis)",287
"Arthritis, Pseudogout (Pseudogout)",288
"Arthritis, Psoriatic (Psoriatic Arthritis)",289
"Arthritis, Quackery (Quackery Arthritis)",290
"Arthritis, Reactive (Reactive Arthritis)",291
"Arthritis, Reiters (Reactive Arthritis)",292
"Arthritis, Rheumatoid (Rheumatoid Arthritis)",293
"Arthritis, Sarcoid (Sarcoidosis)",294
"Arthritis, Scleroderma (Scleroderma)",295
"Arthritis, Sjogren Syndrome (Sjogren's Syndrome)",296
"Arthritis, SLE (Systemic Lupus)",297
"Arthritis, Still (Still's Disease)",298
Arthrocentesis (Joint Aspiration),299
Arthroplasty (Joint Replacement Surgery Of The Hand),300
Arthroscopy,301
Artificial Kidney (Hemodialysis),302
AS (Asperger Syndrome),303
Asbestos-Related Disorders,304
Asbestosis (Asbestos-Related Disorders),305
Ascending Aorta Dissection (Aortic Dissection),306
Ascites,307
Aseptic Necrosis,308
ASL (Sign Language),309
ASPA Deficiency (Canavan Disease),310
Aspartoacylase Deficiency (Canavan Disease),311
ASPD (Antisocial Personality Disorder),312
Asperger Disorder (Asperger Syndrome),313
Asperger Syndrome,314
Asperger's Syndrome (Asperger Syndrome),315
"Aspiration, Joint (Joint Aspiration)",316
Assisted Reproductive Technology (Infertility),317
AST Test (Liver Blood Tests),318
Asthma Complexities,319
Asthma in Children,320
Asthma Medications,321
Asthma Overview,322
"Asthma, Adult-Onset (Adult-Onset Asthma)",323
"Asthma, Exercise-Induced (Exercise-Induced Asthma)",324
Asthma: Over The Counter Treatment,325
Astigmatism Overview,326
Astrocytoma (Brain Tumor),327
Asymptomatic Inflammatory Prostatitis (Prostatitis (Inflammation of the Prostate Gland)),328
Atherosclerosis (Peripheral Vascular Disease),329
Atherosclerosis Prevention (Heart Attack and Atherosclerosis Prevention),330
Atherosclerotic Renovascular Disease (Renal Artery Stenosis),331
Athlete Foot (Athlete's Foot),332
Athlete's Foot,333
Atonic Seizure (Seizure),334
Atopic Dermatitis,335
Atrial Fib (Atrial Fibrillation),336
Atrial Fibrillation,337
Atrial Flutter (Heart Rhythm Disorders),338
"Atrial Tachycardia, Paroxysmal (Paroxysmal Supraventricular Tachycardia (PSVT))",339
Atrioventricular Reentrant Tachycardia (Wolff-Parkinson-White Syndrome),340
"Atrophy, Vaginal (Vaginal Dryness and Vaginal Atrophy)",341
Attention Deficit Disorder (13 Tips for Parenting a Teen with ADHD),342
Attention Deficit Hyperactivity Disorder (ADHD in Children),343
Attention Deficit Hyperactivity Disorder in Adults (Adult ADHD),344
Attention Deficit Hyperactivity Disorder in Teens,345
Attention Deficit Hyperactivity Disorder Parenting (Parenting a Child With ADHD),346
Auditory Brainstem Response (Newborn Infant Hearing Screening),347
Auditory processing disorder (Learning Disability),348
Auditory Processing Disorder in Children,349
"Augmentation, Lip (Lip Augmentation)",350
Aural Hematoma (Hematoma),351
Autism (Autism and Communication),352
Autism and Communication,353
Autism Screening and Diagnosis,354
Autism Spectrum Disorder (ASD) FAQs,355
Autoimmune Cholangiopathy (Primary Biliary Cirrhosis (PBC)),356
Autoimmune Thrombocytopenic Purpura (Idiopathic Thrombocytopenic Purpura (ITP)),357
Autoimmune Thyroid Disease (Hashimoto's Thyroiditis),358
Autoimmune Thyroiditis (Hashimoto's Thyroiditis),359
Automatic Behavior (Narcolepsy),360
"Autonomic Neuropathy, Diabetic (Diabetic Neuropathy)",361
Autonomous Thyroid Nodule (Thyroid Nodules),362
Autopsy,363
Autosomal Dominant PKD (Polycystic Kidney Disease),364
Autosomal Recessive PKD (Polycystic Kidney Disease),365
Avascular Necrosis (Aseptic Necrosis),366
Avian Influenza (Bird Flu),367
AVM (Arteriovenous Malformation),368
Axillary Hyperhidrosis (Hyperhidrosis),369
"B, Hemophilia (Hemophilia)",370
Baby Blues (Postpartum Depression),371
Baby Bottle Tooth Decay (Oral Health Problems in Children),372
Baby Movement Week-by-Week (Fetal Movement: Feeling Baby Kick Week-by-Week),373
Baby with Health Problems: Breastfeeding (Breastfeeding: Common Breastfeeding Challenges),374
Back Pain (Low Back Pain),375
Back Pain Management (Pain Management),376
Back Surgery (Minimally Invasive Lumbar Spinal Fusion),377
Baclofen Pump Therapy,378
Bacterial Arthritis (Septic Arthritis),379
Bacterial Endocarditis (Endocarditis),380
Bacterial Gastroenteritis (Gastroenteritis (Stomach Flu)),381
"Bacterial Vaginosis (Causes, Symptoms, Treatment)",382
Bad Breath,383
Bad Cholesterol Test (Cholesterol Test),384
Baker Cyst,385
Balance (Vestibular Balance Disorders),386
Baldness (Hair Loss),387
Balloon Angioplasty Of Heart (Coronary Angioplasty),388
Balloon Endoscopy,389
Balloon Enteroscopy (Balloon Endoscopy),390
Balloon Mitral Valve (Mitral Valve Prolapse),391
Balloon Valvuloplasty (Heart Valve Disease Treatment),392
Barber Itch (Ringworm),393
Barium Enema,394
Barium Swallow (Upper GI Series),395
Barlow's Syndrome (Mitral Valve Prolapse),396
Barrett Esophagus (Barrett's Esophagus),397
Barrett's Esophagus,398
Barrier Methods of Birth Control,399
Bartonella henselae Infection (Cat Scratch Disease),400
Basal Body Temperature Method of Birth Control (Natural Methods of Birth Control),401
Basal Body Temperature Methods to Conceive (Trying to Conceive),402
Basal Cell Carcinoma (Skin Cancer Overview),403
Bath Salts Abuse and Addiction,404
Battered Men (Domestic Violence),405
Battered Women (Domestic Violence),406
Battle's Sign (Brain Concussion),407
BDD (Body Dysmorphic Disorder),408
Becoming Pregnant (Trying to Conceive),409
Bed Bugs,410
Bedwetting,411
Bee (Insect Sting Allergies),412
Bee and Wasp Sting,413
Behavioral Disorders (Mental Health (Psychology)),414
Behcet Syndrome (Behcet's Syndrome),415
Behcet's Syndrome,416
"Belching (Intestinal Gas (Belching, Bloating, Flatulence))",417
Bell's Palsy (Facial Nerve Problems),418
Benign Brain Lesions (Brain Lesions (Lesions on the Brain)),419
Benign Essential Tremor (Tremor),420
Benign Intracranial Hypertension (Pseudotumor Cerebri),421
Benign Paroxysmal Positional Vertigo (Vertigo Overview),422
Benign Prostatic Hyperplasia,423
Benign Prostatic Hypertrophy (Benign Prostatic Hyperplasia),424
Benign Tumors of the Uterus (Uterine Fibroids),425
Bernard-Soulier Disease,426
Berry Aneurysm (Brain Aneurysm),427
Beta Thalassemia,428
Beta-Globin Type Methemoglobinemia (Methemoglobinemia),429
Beuren Syndrome (Williams Syndrome),430
BH4 Deficiency (Tetrahydrobiopterin Deficiency),431
Bi-PAP (Sleep Apnea),432
Bicarbonate (Electrolytes),433
Biceps Femoris Muscle (Hamstring Injury),434
Bile Duct Cancer (Cholangiocarcinoma),435
"Biliary Cirrhosis, Primary (Primary Biliary Cirrhosis (PBC))",436
Biliary Colic (Gallbladder Pain (Gall Bladder Pain)),437
Biliary Drainage (Duodenal Biliary Drainage),438
Billowing Mitral Valve (Mitral Valve Prolapse),439
Binge Drinking and Teens (Alcohol and Teens),440
Binge Eating Disorder,441
Binswanger's Disease,442
Bioelectric Therapy,443
Biological Agent (Bioterrorism),444
Biological Disease (Bioterrorism),445
Biological Therapy,446
Biological Valve (Heart Valve Disease Treatment),447
Biopsy Of Cervix (Colposcopy),448
"Biopsy, Breast (Breast Biopsy)",449
"Biopsy, Liver (Liver Biopsy)",450
Biorhythms,451
Bioterrorism,452
Bioterrorism Anthrax (Anthrax),453
Biotherapy (Biological Therapy),454
Bipolar Disorder,455
Bipolar Disorder in Children and Teens,456
Birth Control Methods,457
Birth Control Patch (Hormonal Methods of Birth Control),458
Birth Control Pills (Hormonal Methods of Birth Control),459
Birth Defects,460
Birthing Classes (Pregnancy: Birthing and Parenting Classes),461
Birthmarks and Other Skin Pigmentation Problems,462
"Bite, Chigger (Chiggers (Bites))",463
"Bite, Dog (Dog Bite Treatment)",464
"Bite, Snake (Snake Bite)",465
Biventricular Pacemaker,466
Black Death (Plague Facts),467
Black Eye,468
Black Hairy Tongue (Tongue Problems),469
Black Mold (Mold Exposure),470
Black Poop (Stool Color Changes),471
Black Stools (Stool Color Changes),472
Black Tarry Poop (Stool Color Changes),473
Blackheads (Acne),474
Blackout (Fainting),475
Bladder Cancer,476
Bladder Incontinence (Urinary Incontinence),477
Bladder Infection,478
Bladder Spasms,479
Bleeding Disorder (Hemophilia),480
Bleeding in the Eye (Subconjunctival Hemorrhage),481
Bleeding Nose (Nosebleed),482
Bleeding Varices,483
Blepharitis,484
Blepharoplasty (Eyelid Surgery),485
Blepharospasm (Dystonia),486
"Blepharospasm Treatment, Botox (Botox Treatment)",487
Blindness,488
"Blindness, Face (Face Blindness (Prosopagnosia))",489
Bloated Stomach (Ascites),490
"Bloating (Intestinal Gas (Belching, Bloating, Flatulence))",491
Blocked Lymph Vessels (Lymphedema),492
Blood Cell Cancer (Leukemia),493
Blood Clot in the Leg (Deep Vein Thrombosis),494
Blood Clot in the Lung (Pulmonary Embolism),495
Blood Clots,496
Blood Count (Complete Blood Count),497
Blood in Ejaculate (Blood In Semen),498
Blood In Semen,499
Blood In Stool (Blood in the Stool (Rectal Bleeding)),500
Blood in the Stool (Rectal Bleeding),501
Blood In Urine,502
Blood Liver Enzymes (Liver Blood Tests),503
Blood Poisoning (Sepsis),504
Blood Pressure (High Blood Pressure Hypertension),505
Blood Pressure Of Pregnancy (Pregnancy Induced Hypertension),506
Blood Pressure Treatment (High Blood Pressure Treatment),507
"Blood Pressure, Low (Low Blood Pressure)",508
"Blood Test, Ferritin (Ferritin Blood Test)",509
"Blood Test, Thyroid (Thyroid Blood Tests)",510
Blood Transfusion,511
Blood White Cell Count (Complete Blood Count),512
"Blood, Bicarbonate (Electrolytes)",513
"Blood, Chloride (Electrolytes)",514
"Blood, CO2 (Electrolytes)",515
"Blood, Electrolytes (Electrolytes)",516
"Blood, Hematocrit (Complete Blood Count)",517
"Blood, Hemoglobin (Complete Blood Count)",518
"Blood, Low Red Cell Count (Anemia)",519
"Blood, Platelet Count (Complete Blood Count)",520
"Blood, Potassium (Electrolytes)",521
"Blood, Red Cell Count (Complete Blood Count)",522
"Blood, Sodium (Electrolytes)",523
Bloody Diarrhea (Diarrhea),524
Bloody Nose (Nosebleed),525
Blue Baby Syndrome (Methemoglobinemia),526
Blue Light Therapy (Photodynamic Therapy),527
BMS (Burning Mouth Syndrome),528
Bocavirus Infection,529
Body Clock (Biorhythms),530
Body Dysmorphic Disorder,531
Boils,532
Bone Broken (Broken Bone (Types of Bone Fractures)),533
Bone Cancer Overview,534
Bone Density Scan,535
Bone Marrow,536
Bone Marrow Transplant (Peripheral Blood Stem Cell Transplant),537
Bone Marrow Transplantation for Breast Cancer,538
Bone Sarcoma (Bone Cancer Overview),539
Bone Spurs,540
Borderline High Blood Pressure (High Blood Pressure Hypertension),541
Borderline Personality Disorder,542
Botox Injections (Botox Treatment),543
Botox to Treat Multiple Sclerosis (MS),544
Botox Treatment,545
Botox Treatment (Botox Treatment),546
Botulism,547
Bovine Spongiform Encephalopathy (Encephalopathy),548
Bovine Spongiform Encephalopathy (Mad Cow Disease),549
"Bowel Diversion Surgery Ileostomy, Colostomy",550
Boxer's Ear (Cauliflower Ear),551
BPD (Borderline Personality Disorder),552
BPH (Benign Prostatic Hyperplasia),553
BPPV (Vertigo Overview),554
Brachytherapy,555
Bradley Method for Childbirth (Childbirth Class Options),556
Bradycardia (Heart Rhythm Disorders),557
Brain Aneurysm,558
Brain Cancer,559
Brain Concussion,560
"Brain Damage: Symptoms, Causes, Treatment",561
Brain Hemorrhage,562
Brain Lesions (Lesions on the Brain),563
Brain Metastasis (Brain Tumor),564
Brain Stem Gliomas (Adult Brain Tumors),565
Brain Tumor,566
Brain Wave Test (EEG - Electroencephalogram),567
Brain-Eating Amoeba (Naegleria Infection),568
Branchial Cyst,569
Braxton Hicks Contractions,570
Breakbone Fever (Dengue Fever),571
Breast (Breastfeeding),572
Breast Anatomy,573
Breast Augmentation,574
Breast Biopsy,575
"Breast Cancer (Facts, Stages)",576
Breast Cancer and Coping With Stress,577
Breast Cancer and Lymphedema,578
Breast Cancer Clinical Trials,579
Breast Cancer During Pregnancy,580
Breast Cancer Follow-Up Self-Exam,581
Breast Cancer Genetic Testing (Genetic Testing for Breast Cancer),582
Breast Cancer in Men (Male Breast Cancer),583
Breast Cancer in Young Women,584
Breast Cancer Prevention,585
Breast Cancer Recurrence,586
Breast Implants (Breast Augmentation),587
Breast Infection: Breastfeeding (Breastfeeding: Common Breastfeeding Challenges),588
Breast Lumps In Women,589
Breast Milk Jaundice (Newborn Jaundice (Neonatal Jaundice)),590
Breast Reconstruction,591
Breast Reconstruction Without Implants,592
Breast Self Exam,593
Breastfeeding,594
Breastfeeding After Breast Surgery (Breastfeeding: Common Breastfeeding Challenges),595
Breastfeeding Classes (Pregnancy: Birthing and Parenting Classes),596
Breastfeeding Jaundice (Newborn Jaundice (Neonatal Jaundice)),597
Breastfeeding Positions (Breastfeeding: Common Breastfeeding Challenges),598
Breastfeeding: Common Breastfeeding Challenges,599
"Breath Test, Hydrogen (Hydrogen Breath Test)",600
"Breath Test, Urea (Urea Breath Test)",601
"Breath, Bad (Bad Breath)",602
Breathing (Lungs Design And Purpose),603
"Breathing Disorders, Sleep Related (Sleep Related Breathing Disorders)",604
Breathing Tube (Endotracheal Intubation),605
Bridges,606
Brief Psychotic Disorder,607
Broken Blood Vessel in the Eye (Subconjunctival Hemorrhage),608
Broken Bone (Broken Bone (Types of Bone Fractures)),609
Broken Bone (Types of Bone Fractures),610
Broken Finger,611
Broken Foot,612
Broken Hip (Broken Bone (Types of Bone Fractures)),613
Broken Index Finger (Broken Finger),614
Broken Leg (Broken Bone (Types of Bone Fractures)),615
Broken Phalange (Broken Finger),616
Broken Shoulder (Broken Bone (Types of Bone Fractures)),617
Broken Toe,618
Broken Wrist (Broken Bone (Types of Bone Fractures)),619
"Bronchiectasis (Acquired, Congenital)",620
Bronchitis (Acute),621
"Bronchitis and Emphysema (Emphysema, Chronic Bronchitis, and Colds)",622
"Bronchitis, Acute (Bronchitis (Acute))",623
"Bronchitis, Chronic (Chronic Bronchitis)",624
Bronchoscopy,625
Bronze Diabetes (Iron Overload),626
Brow Lift Cosmetic Surgery,627
Brucellosis Facts,628
Bruised Eye (Black Eye),629
Bruises,630
Bovine Sponge Encephalopathy (Mad Cow Disease),631
Bubonic Plague (Plague Facts),632
Buccal Mucosa Cancer (Oral Cancer),633
Buerger's Disease (Vascular Disease),634
Bug Bites and Stings,635
Bulging Disc (Herniated Disc),636
Bulimia Nervosa,637
Bullous Pemphigoid,638
Bullying,639
Bumps (Bruises),640
Bunions,641
Burning Mouth Syndrome,642
Burning Tongue Syndrome (Tongue Problems),643
Burns,644
Bursitis Of The Hip (Hip Bursitis),645
"Bursitis, Calcific (Calcific Bursitis)",646
"Bursitis, Shoulder (Shoulder Bursitis)",647
Buzzing in the Ear (Tinnitus (Ringing in the Ears)),648
"Bypass Surgery, Heart (Coronary Artery Bypass Graft)",649
"Bypass, Stomach (Gastric Bypass Surgery)",650
C Diff (Clostridium Difficile Colitis),651
C-Reactive Protein Test (CRP),652
C-Section (Cesarean Birth),653
C. Difficile Colitis (Clostridium Difficile Colitis),654
CA 125,655
CABG (Coronary Artery Bypass Graft),656
CAD (Heart Disease (Coronary Artery Disease)),657
Calcific Bursitis,658
Calcium Pyrophosphate Deposition Disease (Pseudogout),659
Calcium Supplements (Vitamins and Calcium Supplements),660
"Calcium, Elevated (Hypercalcemia)",661
Calendar Method to Conceive (Trying to Conceive),662
Calendar Rhythm Method of Birth Control (Natural Methods of Birth Control),663
Calf Cramp (Muscle Cramps),664
Calicivirus Infection (Norovirus Infection),665
